id,name,sub_category,ratings,no_of_ratings,discount_price,actual_price,discount_percent
f4e0d39b-0703-4cfd-b18c-4ba2b2af37c7,bavaria nonalcoholic malt drink can 6 x 330 ml,coffee tea  beverages,3.9,46,600.0,1200.0,50.0
0f7d669f-dba7-4380-87b0-008740f823ba,mapro lemon barley 750ml,coffee tea  beverages,0.0,0,0.0,180.0,100.0
525a4b79-c536-46c7-a79a-54d1120806eb,laven noni gold juice 800ml,coffee tea  beverages,4.5,17,1399.0,1799.0,22.234574763757642
f7cd7104-b35a-4cf5-9622-8d5ea8b7afaf,starbucks frappuccino caramel drink 281 ml,coffee tea  beverages,3.6,26,410.0,549.0,25.318761384335154
454998dd-3468-4755-96c5-75969120d11e,truedreamall real  fresh cranberry juice concentrate juice750ml,coffee tea  beverages,4.1,106,2750.0,3550.0,22.535211267605636
fdb092f5-f814-4395-9420-9e756ecf9051,malas fruit crush strawberry 750ml,coffee tea  beverages,4.0,47,173.0,175.0,1.1428571428571428
1a335a8d-60d2-4c5e-b026-93c871bec9ce,san pellegrino sparkling natural mineral water 750 ml,coffee tea  beverages,4.1,27,430.0,450.0,4.444444444444445
1524273b-57cf-4d9a-86f4-ac9d6f18d92e,shreeji elaichi kesar syrup mix with milk pet bottle 500 ml,coffee tea  beverages,3.7,20,0.0,310.0,100.0
ca26c5f9-53d0-415a-be2a-bb509979576e,laven noni gold juice 800ml,coffee tea  beverages,4.5,17,1399.0,1799.0,22.234574763757642
aa708283-329a-4f65-9edf-d40208effd9f,truedreamall real  fresh cranberry juice concentrate juice750ml,coffee tea  beverages,4.1,106,2750.0,3550.0,22.535211267605636
02539056-9885-42a2-a321-0d94042a32bf,malas fruit crush strawberry 750ml,coffee tea  beverages,4.0,47,173.0,175.0,1.1428571428571428
906268f7-1cfa-4637-af86-b4dd38fabb86,san pellegrino sparkling natural mineral water 750 ml,coffee tea  beverages,4.1,27,430.0,450.0,4.444444444444445
b258a9e2-7c87-40f7-b4e9-03c51d4b4f94,shreeji elaichi kesar syrup mix with milk pet bottle 500 ml,coffee tea  beverages,3.7,20,0.0,310.0,100.0
4946b4f5-2fd1-4c40-98b4-86cdb6a17509,monin popcorn syrup 700ml,coffee tea  beverages,4.3,38,1299.0,2000.0,35.05
09a22e93-2359-49f1-84d6-02ecea7c2155,33 herbals slim care juice white pumpkin juice 500 ml,coffee tea  beverages,3.3,2,250.0,265.0,5.660377358490567
0b1d9ca0-33ee-428c-a2b5-bd81fdd87360,b naturall pineapple drink powder  dry no added sugars and preservatives  100 gm by b naturall,coffee tea  beverages,3.3,10,279.0,381.0,26.77165354330709
197f05b8-74e9-4f7d-bf9d-5daeaaf223b1,evian natural mineral water bottle 8 x 750 ml,coffee tea  beverages,4.3,40,2999.0,4899.0,38.78342518881404
e2c4a9da-cc69-48d6-b190-cc864f561ecf,360 degree organic ash gourd juice  500 ml,coffee tea  beverages,0.0,0,230.0,250.0,8.0
7ccefdc1-0c34-4898-9b9b-66723fd92860,chabaa 100 apple juice 3381 fl oz  1000 ml,coffee tea  beverages,4.3,3,0.0,230.0,100.0
32565474-e616-40e3-bf4f-7cc32dd0cfdd,vjherbals banana stem juice combo of 2 500ml  500ml,coffee tea  beverages,4.0,54,390.0,590.0,33.89830508474576
e43472d3-4967-443f-b79d-e680c3fa9870,fruitbell fruit crush litchi 1000ml,coffee tea  beverages,0.0,1,0.0,195.0,100.0
df90e2b9-f964-4e3a-aa39-d65e93f6506d,chilli guava syrup  great for cocktails mocktails sodas and more  made with real guavas  read to mix  750ml,coffee tea  beverages,3.4,34,580.0,690.0,15.942028985507244
e715e213-8c05-481c-9cd1-56e17b53cf56,old jamaica cream soda can 330 ml,coffee tea  beverages,3.7,55,185.0,350.0,47.14285714285714
